Date,Open,High,Low,Close,Adj Close,Volume
2022-07-27,1425.405884,1603.998047,1403.229736,1603.310059,1603.310059,22544589625
2022-07-28,1603.309326,1740.156738,1581.127441,1692.944824,1692.944824,26718115308
2022-07-29,1693.097656,1720.941284,1632.716187,1689.182861,1689.182861,22735065489
2022-07-30,1688.845459,1699.558105,1640.974854,1658.441040,1658.441040,15232290504
2022-07-31,1658.358276,1707.250244,1637.272217,1646.847778,1646.847778,13907944608
2022-08-01,1646.777466,1661.254028,1572.612671,1593.524414,1593.524414,15778750273
2022-08-02,1592.988525,1641.040527,1531.605469,1607.949951,1607.949951,20113420267
2022-08-03,1608.054199,1646.825195,1570.024536,1593.937378,1593.937378,16527643916
2022-08-04,1593.949341,1631.650391,1548.694336,1569.374146,1569.374146,14118109804
2022-08-05,1568.708618,1700.400146,1568.768433,1700.400146,1700.400146,18205440437
2022-08-06,1700.799194,1712.250000,1660.548462,1660.548462,1660.548462,11541683709
2022-08-07,1660.666138,1694.958862,1642.143677,1670.590942,1670.590942,10078583963
2022-08-08,1670.927856,1771.738892,1668.244873,1741.044434,1741.044434,16514448149
2022-08-09,1741.588867,1750.905640,1636.735474,1668.283325,1668.283325,16034699850
2022-08-10,1668.167114,1815.109497,1631.602173,1797.999634,1797.999634,22830075335
2022-08-11,1798.082764,1864.317261,1798.082764,1822.695557,1822.695557,23085681279
2022-08-12,1822.380615,1907.472900,1808.043945,1907.174194,1907.174194,16728929330
2022-08-13,1907.259521,1962.237915,1898.744263,1930.648071,1930.648071,15628650113
2022-08-14,1931.082520,1971.042480,1869.916138,1888.897217,1888.897217,13714926287
2022-08-15,1888.856689,1958.844604,1845.213257,1873.954712,1873.954712,20026408105
2022-08-16,1872.581909,1881.327515,1831.711670,1846.761353,1846.761353,15376321899
2022-08-17,1846.559692,1920.167847,1794.461426,1800.995483,1800.995483,19953921573
2022-08-18,1801.698853,1859.740967,1794.012207,1830.696899,1830.696899,14866892949
2022-08-19,1830.783569,1830.783569,1605.559082,1607.201538,1607.201538,25813432623
2022-08-20,1606.865967,1646.292358,1528.643433,1571.190918,1571.190918,18266999000
2022-08-21,1570.732544,1634.559814,1563.263062,1613.026245,1613.026245,15787631676
2022-08-22,1612.874756,1632.856323,1534.333252,1632.581543,1632.581543,18672318057
2022-08-23,1633.017822,1672.186646,1582.616455,1668.331909,1668.331909,18383329144
2022-08-24,1668.257080,1691.411621,1618.479858,1662.345215,1662.345215,16834464083
2022-08-25,1662.623413,1718.953003,1662.572144,1701.424316,1701.424316,14862185129
2022-08-26,1701.291504,1692.352783,1504.186279,1513.230469,1513.230469,26810226778
2022-08-27,1513.605957,1522.631470,1459.390503,1496.632813,1496.632813,18184472260
2022-08-28,1496.443970,1511.080322,1439.739990,1439.739990,1439.739990,12905977198
2022-08-29,1439.631470,1555.103394,1436.498901,1551.369385,1551.369385,17946542179
2022-08-30,1551.520752,1592.707031,1478.835571,1520.250244,1520.250244,21784361198
2022-08-31,1520.696777,1605.557983,1520.696777,1547.797974,1547.797974,20513659062
2022-09-01,1547.869263,1601.976929,1529.630249,1593.866577,1593.866577,16513950191
2022-09-02,1593.706909,1640.695435,1560.048584,1584.668091,1584.668091,17792098146
2022-09-03,1584.661377,1586.912598,1548.951904,1564.224121,1564.224121,9561764447
2022-09-04,1564.247559,1591.457153,1550.988159,1592.294800,1592.294800,8966660937
2022-09-05,1592.539429,1629.769653,1570.475708,1625.154297,1625.154297,13124916575
2022-09-06,1625.211670,1693.608154,1577.954834,1577.954834,1577.954834,23184170380
2022-09-07,1577.104248,1649.309326,1517.383789,1630.532227,1630.532227,19567875034
2022-09-08,1630.431030,1655.189941,1605.316162,1633.733521,1633.733521,17603654744
2022-09-09,1633.573853,1725.546021,1630.646973,1693.746094,1693.746094,19943951839
2022-09-10,1693.623779,1757.865967,1684.938477,1749.695679,1749.695679,12934962244
2022-09-11,1749.471313,1755.951538,1714.889282,1749.460327,1749.460327,12377001951
2022-09-12,1749.743286,1762.739624,1675.750244,1691.880371,1691.880371,17462510553
2022-09-13,1692.075195,1716.921265,1567.873047,1584.229370,1584.229370,23117038205
2022-09-14,1578.286621,1645.390625,1567.873047,1637.687744,1637.687744,17929257694
2022-09-15,1638.016357,1652.820679,1467.151123,1473.512451,1473.512451,26979581475
2022-09-16,1473.747681,1479.681763,1415.058960,1430.140015,1430.140015,16737796199
2022-09-17,1430.568115,1470.685913,1412.761230,1467.372437,1467.372437,10780692136
2022-09-18,1467.336304,1467.336304,1330.602661,1332.366089,1332.366089,15727308213
2022-09-19,1332.307739,1384.326782,1290.629150,1373.407349,1373.407349,18656557368
2022-09-20,1373.484741,1375.434448,1323.703857,1328.209106,1328.209106,14764791105
2022-09-21,1328.036011,1401.482422,1249.602783,1274.063721,1274.063721,20997110445
2022-09-22,1273.005493,1358.104248,1264.173096,1349.419556,1349.419556,18763816306
2022-09-23,1349.217407,1377.241577,1305.659668,1370.470337,1370.470337,19367633327
2022-09-24,1370.454956,1389.324707,1354.634277,1360.158447,1360.158447,12485255642
2022-09-25,1360.102051,1376.028564,1318.263062,1336.228394,1336.228394,12185777508
2022-09-26,1336.403198,1387.714722,1329.712158,1388.098755,1388.098755,16668314831
2022-09-27,1388.116211,1451.318604,1365.783447,1386.154053,1386.154053,18623326435
2022-09-28,1385.542969,1388.282349,1325.219971,1377.847534,1377.847534,19569292774
2022-09-29,1377.995361,1391.983154,1329.842529,1358.805908,1358.805908,14036085270
2022-09-30,1358.799927,1394.635864,1352.508057,1354.803833,1354.803833,14537952115
2022-10-01,1355.023193,1359.433350,1332.296387,1337.949463,1337.949463,6352862999
2022-10-02,1338.060669,1342.729004,1301.961304,1302.700073,1302.700073,7736360282
2022-10-03,1302.771362,1353.979614,1298.820068,1345.841187,1345.841187,10324931938
2022-10-04,1345.677368,1366.842285,1345.657104,1364.330566,1364.330566,10156181119
2022-10-05,1364.176514,1364.735229,1337.995850,1364.832764,1364.832764,9861121884
2022-10-06,1364.802002,1392.309570,1378.410522,1380.799683,1380.799683,12292488134
2022-10-07,1380.929321,1387.841431,1355.847168,1368.217773,1368.217773,10331190260
2022-10-08,1368.068237,1371.747681,1341.275146,1349.923218,1349.923218,5956567171
2022-10-09,1349.881836,1362.409912,1343.606201,1358.600342,1358.600342,5635543362
2022-10-10,1358.615112,1371.005737,1329.714844,1329.714844,1329.714844,9055854530
2022-10-11,1329.480103,1327.388428,1311.641479,1319.040405,1319.040405,9560900038
2022-10-12,1319.201782,1342.739502,1318.180908,1334.261108,1334.261108,8609583146
2022-10-13,1334.272461,1335.752808,1252.804932,1318.808350,1318.808350,17915882791
2022-10-14,1318.731323,1370.813354,1316.601318,1334.590576,1334.590576,13489450974
2022-10-15,1334.471191,1338.009766,1304.807495,1311.394165,1311.394165,6993276414
2022-10-16,1311.531860,1350.409546,1311.531860,1341.179932,1341.179932,7691681566
2022-10-17,1341.193237,1357.222534,1331.863403,1352.838623,1352.838623,9550320722
2022-10-18,1352.794189,1360.255615,1311.676270,1328.696289,1328.696289,10561811436
2022-10-19,1328.814087,1330.892700,1314.662354,1316.578979,1316.578979,8550959099
2022-10-20,1316.493042,1330.389404,1306.415039,1312.182007,1312.182007,9212582791
2022-10-21,1312.168823,1323.300293,1297.773193,1318.323730,1318.323730,10559767680
2022-10-22,1318.279053,1336.093628,1314.267700,1333.251465,1333.251465,7278792745
2022-10-23,1333.200928,1387.630127,1321.696655,1382.456177,1382.456177,10047669326
2022-10-24,1382.501587,1389.335083,1345.402954,1360.763184,1360.763184,13246281119
2022-10-25,1360.472656,1515.161743,1352.283325,1467.064819,1467.064819,25460998068
2022-10-26,1466.530640,1577.661255,1466.829712,1552.047729,1552.047729,32402433404
2022-10-27,1552.319946,1560.306152,1515.430786,1519.390503,1519.390503,22889057554
2022-10-28,1519.338623,1574.464600,1502.015625,1560.936035,1560.936035,20044714158
2022-10-29,1560.732178,1658.180420,1555.422607,1625.381958,1625.381958,21694012880
2022-10-30,1625.381470,1642.782227,1586.815552,1598.045288,1598.045288,13993664212
2022-10-31,1597.741821,1641.174805,1573.105713,1590.871460,1590.871460,19529818102
2022-11-01,1590.801514,1617.606201,1583.304321,1599.277100,1599.277100,14687056794
2022-11-02,1599.067871,1619.449707,1535.446777,1548.510376,1548.510376,23694885717
2022-11-03,1548.523560,1583.567017,1545.615601,1570.891602,1570.891602,14614433889
2022-11-04,1570.743774,1672.839355,1567.365479,1647.977295,1647.977295,20843438956
2022-11-05,1648.040527,1663.226196,1628.646973,1630.654175,1630.654175,11025134696
2022-11-06,1630.587158,1649.506470,1583.567383,1583.567383,1583.567383,11716593528
2022-11-07,1583.348022,1600.024536,1561.144409,1565.841553,1565.841553,15253177574
2022-11-08,1565.580322,1572.225098,1251.968262,1322.166260,1322.166260,41711409173
2022-11-09,1322.450806,1326.148804,1081.814575,1098.027710,1098.027710,38788823261
2022-11-10,1097.965332,1320.547974,1091.431519,1275.007446,1275.007446,28043079081
2022-11-11,1274.436157,1278.805786,1177.454712,1241.114136,1241.114136,20171186309
2022-11-12,1241.323608,1242.010620,1197.520386,1211.473267,1211.473267,10582406181
2022-11-13,1211.640137,1227.343750,1167.581055,1183.151123,1183.151123,10378269191
